age,typeof_contact,city_tier,duration_of_pitch,occupation,gender,number_of_person_visiting,number_of_followups,product_pitched,preferred_property_star,number_of_trips,passport,pitch_satisfaction_score,designation,monthly_income,prod_taken,marital_status,car_ownership,children
40.0,Self Enquiry,3,240.0,Salaried,female,3.0,4.0,standard,3.0,5.0,0,1,senior manager,360450.0,0,Single,Car Ownership,2 Children
28.0,Self Enquiry,2,360.0,Small Business,male,3.0,4.0,standard,3.0,2.0,0,1,senior manager,345870.0,0,Unmarried,Car Ownership,2 Children
39.0,Company Invited,2,480.0,Salaried,male,2.0,4.0,standard,3.0,2.0,0,2,senior manager,388290.0,0,Single,Car Ownership,1 Children
48.0,Company Invited,2,720.0,Salaried,male,2.0,4.0,deluxe,3.0,2.0,0,2,manager,298740.0,0,Unmarried,Car Ownership,1 Children
50.0,Self Enquiry,2,480.0,Large Business,female,2.0,4.0,standard,3.0,7.0,0,2,senior manager,366540.0,0,Unmarried,Car Ownership,1 Children
53.0,Self Enquiry,2,540.0,Small Business,male,3.0,4.0,standard,4.0,3.0,0,1,senior manager,458310.0,0,Married,Car Ownership,2 Children
35.0,Company Invited,2,660.0,Salaried,female,2.0,4.0,super deluxe,3.0,3.0,0,1,avp,409185.0,0,Divorced,Car Ownership,1 Children
44.0,Company Invited,2,480.0,Small Business,male,3.0,4.0,standard,3.0,5.0,0,1,senior manager,376665.0,0,Married,Car Ownership,2 Children
41.0,Company Invited,2,900.0,Small Business,male,2.0,4.0,deluxe,3.0,3.0,0,2,manager,376215.0,0,Married,Car Ownership,1 Children
50.0,Company Invited,2,900.0,Large Business,female,2.0,4.0,standard,3.0,1.0,0,2,senior manager,458250.0,0,Divorced,Car Ownership,1 Children
50.0,Self Enquiry,2,420.0,Small Business,male,3.0,4.0,basic,3.0,5.0,0,1,executive,351690.0,0,Unmarried,Car Ownership,2 Children
30.0,Self Enquiry,1,600.0,Large Business,female,3.0,4.0,basic,3.0,7.0,0,3,executive,312300.0,0,Married,Car Ownership,2 Children
40.0,Self Enquiry,1,960.0,Small Business,female,3.0,4.0,standard,3.0,2.0,0,3,senior manager,400000.0,0,Unmarried,Car Ownership,2 Children
80.0,Self Enquiry,2,540.0,Salaried,female,3.0,4.0,super deluxe,3.0,5.0,1,1,avp,575355.0,0,Divorced,Car Ownership,2 Children
80.0,Self Enquiry,2,960.0,Small Business,female,3.0,4.0,deluxe,3.0,3.0,0,5,manager,395910.0,0,Married,Car Ownership,2 Children
32.0,Self Enquiry,2,540.0,Large Business,female,3.0,4.0,basic,3.0,2.0,0,4,executive,337545.0,0,Married,No Car Ownership,2 Children
40.0,Company Invited,1,720.0,Small Business,male,3.0,4.0,basic,3.0,3.0,0,4,executive,314160.0,0,Unmarried,Car Ownership,2 Children
30.0,Company Invited,1,600.0,Salaried,male,3.0,5.0,basic,3.0,2.0,0,4,executive,326985.0,0,Single,Car Ownership,2 Children
31.0,Self Enquiry,1,480.0,Small Business,female,3.0,4.0,basic,3.0,7.0,1,3,executive,300000.0,0,Divorced,Car Ownership,2 Children
30.0,Self Enquiry,2,900.0,Salaried,male,3.0,4.0,basic,3.0,3.0,0,4,manager,325290.0,0,Married,Car Ownership,2 Children
55.0,Company Invited,1,1020.0,Small Business,male,2.0,4.0,basic,4.0,5.0,0,3,executive,374355.0,0,Married,Car Ownership,No Children
38.0,Self Enquiry,2,420.0,Salaried,male,3.0,4.0,deluxe,3.0,3.0,1,2,manager,344415.0,1,Unmarried,Car Ownership,2 Children
23.0,Company Invited,2,600.0,Large Business,female,3.0,4.0,basic,3.0,3.0,1,2,executive,330000.0,1,Married,Car Ownership,2 Children
29.0,Self Enquiry,2,960.0,Small Business,female,3.0,3.0,basic,3.0,2.0,0,4,executive,264270.0,0,Married,Car Ownership,No Children
,Self Enquiry,1,600.0,Large Business,female,3.0,3.0,basic,3.0,5.0,0,4,executive,,0,Divorced,Car Ownership,No Children
50.0,Company Invited,2,420.0,Small Business,female,3.0,3.0,basic,3.0,5.0,0,3,executive,254805.0,0,Married,Car Ownership,No Children
48.0,Self Enquiry,1,2100.0,Large Business,male,3.0,3.0,deluxe,4.0,5.0,0,3,manager,423360.0,0,Married,Car Ownership,unknown
27.0,Company Invited,1,840.0,Small Business,male,3.0,3.0,basic,3.0,2.0,0,4,executive,300000.0,1,Single,Car Ownership,No Children
27.0,Company Invited,1,540.0,Large Business,male,3.0,4.0,basic,4.0,7.0,0,4,executive,306945.0,0,Married,Car Ownership,No Children
37.0,Self Enquiry,1,780.0,Small Business,female,2.0,4.0,deluxe,3.0,2.0,0,2,manager,265965.0,0,Divorced,Car Ownership,1 Children
20.0,Self Enquiry,1,960.0,Small Business,male,3.0,4.0,deluxe,3.0,3.0,0,2,manager,351075.0,0,Unmarried,No Car Ownership,2 Children
32.0,Self Enquiry,1,600.0,Salaried,male,2.0,4.0,basic,3.0,3.0,0,2,manager,319410.0,0,Married,Car Ownership,1 Children
47.0,Self Enquiry,1,1920.0,Small Business,female,2.0,4.0,deluxe,3.0,3.0,0,2,manager,370000.0,0,Unmarried,No Car Ownership,1 Children
36.0,Company Invited,1,540.0,Small Business,male,2.0,5.0,basic,3.0,2.0,0,1,executive,413355.0,0,Divorced,Car Ownership,1 Children
42.0,Self Enquiry,1,480.0,Small Business,male,2.0,4.0,basic,3.0,2.0,0,1,executive,264135.0,0,Divorced,Car Ownership,1 Children
40.0,Company Invited,1,1800.0,Small Business,male,2.0,4.0,deluxe,3.0,2.0,0,1,manager,360855.0,0,Divorced,Car Ownership,1 Children
48.0,Self Enquiry,1,540.0,Small Business,male,2.0,4.0,super deluxe,3.0,,0,2,avp,578670.0,0,Divorced,Car Ownership,1 Children
41.0,Self Enquiry,1,1020.0,Small Business,male,2.0,4.0,basic,4.0,7.0,0,2,executive,269925.0,1,Married,Car Ownership,1 Children
39.0,Self Enquiry,1,960.0,Small Business,male,2.0,5.0,deluxe,3.0,3.0,0,1,manager,300000.0,0,Divorced,No Car Ownership,1 Children
27.0,Self Enquiry,1,720.0,Salaried,female,2.0,4.0,basic,3.0,3.0,0,2,executive,266565.0,1,Divorced,Car Ownership,1 Children
30.0,Company Invited,1,600.0,Salaried,female,2.0,4.0,basic,3.0,2.0,0,2,senior manager,356655.0,0,Unmarried,No Car Ownership,1 Children
30.0,Company Invited,1,840.0,Salaried,male,2.0,4.0,basic,3.0,2.0,0,2,executive,269295.0,1,Divorced,Car Ownership,1 Children
39.0,Self Enquiry,1,900.0,Small Business,male,2.0,4.0,deluxe,3.0,2.0,0,2,manager,321270.0,0,Single,No Car Ownership,1 Children
36.0,Company Invited,1,900.0,Salaried,male,3.0,4.0,basic,3.0,1.0,0,2,executive,340000.0,1,Married,Car Ownership,2 Children
38.0,Company Invited,1,540.0,Small Business,female,2.0,5.0,deluxe,3.0,3.0,0,2,manager,360000.0,0,Unmarried,Car Ownership,1 Children
32.0,Self Enquiry,1,1260.0,Large Business,male,2.0,4.0,basic,4.0,7.0,0,2,executive,310410.0,0,Married,Car Ownership,1 Children
42.0,Self Enquiry,1,360.0,Large Business,female,3.0,4.0,standard,4.0,2.0,0,1,senior manager,400000.0,0,Married,Car Ownership,2 Children
40.0,Company Invited,1,540.0,Small Business,male,2.0,4.0,deluxe,3.0,2.0,0,2,manager,325080.0,0,Married,No Car Ownership,1 Children
37.0,Self Enquiry,1,1140.0,Salaried,male,2.0,4.0,deluxe,3.0,3.0,0,1,manager,355980.0,0,Married,Car Ownership,1 Children
42.0,Self Enquiry,1,480.0,Small Business,male,2.0,4.0,basic,3.0,2.0,0,2,executive,300000.0,0,Married,Car Ownership,1 Children
31.0,Company Invited,1,840.0,Small Business,male,2.0,4.0,standard,3.0,3.0,0,2,senior manager,361200.0,0,Married,Car Ownership,1 Children
45.0,Self Enquiry,1,420.0,Salaried,female,2.0,4.0,basic,3.0,7.0,0,2,executive,356490.0,0,Divorced,Car Ownership,1 Children
42.0,Company Invited,1,720.0,Small Business,male,2.0,4.0,deluxe,3.0,3.0,0,1,manager,358800.0,0,Unmarried,Car Ownership,1 Children
36.0,Company Invited,2,1140.0,Salaried,female,3.0,3.0,deluxe,3.0,5.0,0,4,manager,252270.0,0,Single,Car Ownership,No Children
34.0,Company Invited,1,720.0,Salaried,female,2.0,4.0,standard,4.0,2.0,0,1,senior manager,431145.0,0,Unmarried,Car Ownership,1 Children
47.0,Self Enquiry,1,420.0,Salaried,male,2.0,4.0,deluxe,3.0,7.0,0,2,manager,326910.0,0,Married,Car Ownership,1 Children
42.0,Self Enquiry,1,780.0,Salaried,female,2.0,4.0,deluxe,3.0,4.0,0,1,manager,397680.0,0,Married,Car Ownership,1 Children
60.0,Self Enquiry,1,660.0,Small Business,female,2.0,4.0,super deluxe,3.0,3.0,0,1,senior manager,549225.0,0,Married,Car Ownership,1 Children
43.0,Self Enquiry,1,540.0,Small Business,male,3.0,4.0,basic,3.0,5.0,0,1,executive,316035.0,1,Divorced,Car Ownership,2 Children
100.0,Self Enquiry,3,840.0,Salaried,female,3.0,3.0,deluxe,3.0,1.0,0,4,manager,260400.0,0,Married,Car Ownership,No Children
38.0,Company Invited,1,660.0,Small Business,female,2.0,4.0,deluxe,4.0,3.0,0,2,manager,300000.0,0,Unmarried,No Car Ownership,1 Children
90.0,Self Enquiry,1,,Salaried,male,3.0,4.0,super deluxe,3.0,3.0,0,2,avp,345615.0,0,Single,Car Ownership,2 Children
33.0,Company Invited,1,360.0,Salaried,male,3.0,4.0,basic,3.0,1.0,0,1,executive,300000.0,0,Divorced,Car Ownership,2 Children
50.0,Self Enquiry,1,660.0,Salaried,female,3.0,4.0,standard,3.0,3.0,1,2,senior manager,489960.0,0,Married,Car Ownership,2 Children
26.0,Self Enquiry,1,420.0,Salaried,female,3.0,4.0,basic,3.0,5.0,1,2,executive,264375.0,1,Divorced,Car Ownership,2 Children
51.0,Company Invited,2,900.0,Small Business,female,3.0,4.0,standard,3.0,7.0,1,2,senior manager,480630.0,1,Single,No Car Ownership,2 Children
42.0,Company Invited,3,1620.0,Small Business,male,2.0,3.0,deluxe,3.0,5.0,0,1,manager,327330.0,0,Divorced,Car Ownership,1 Children
23.0,Company Invited,3,1920.0,Small Business,male,3.0,4.0,deluxe,4.0,3.0,0,3,manager,319140.0,0,Married,Car Ownership,2 Children
29.0,Self Enquiry,2,1920.0,Small Business,male,3.0,4.0,deluxe,3.0,3.0,0,3,manager,332250.0,0,Married,Car Ownership,2 Children
23.0,Company Invited,2,1140.0,Small Business,male,3.0,4.0,basic,4.0,2.0,0,3,executive,300000.0,1,Single,Car Ownership,2 Children
27.0,Self Enquiry,2,480.0,Small Business,male,3.0,4.0,deluxe,3.0,3.0,0,4,manager,303585.0,0,Married,No Car Ownership,2 Children
50.0,Self Enquiry,3,780.0,Small Business,female,3.0,4.0,king,4.0,4.0,0,3,vp,519885.0,0,Divorced,Car Ownership,2 Children
20.0,Self Enquiry,2,420.0,Small Business,male,3.0,4.0,basic,3.0,2.0,0,3,executive,307215.0,0,Divorced,Car Ownership,2 Children
23.0,Company Invited,2,900.0,Small Business,female,3.0,4.0,deluxe,3.0,2.0,0,4,manager,303495.0,0,Single,Car Ownership,2 Children
48.0,Self Enquiry,3,960.0,Small Business,female,3.0,4.0,basic,3.0,3.0,0,4,executive,363705.0,0,Unmarried,Car Ownership,2 Children
29.0,Company Invited,2,540.0,Small Business,male,4.0,4.0,deluxe,3.0,3.0,0,4,manager,360000.0,0,Married,No Car Ownership,3 Children
32.0,Self Enquiry,2,660.0,Salaried,male,3.0,5.0,standard,3.0,3.0,0,2,senior manager,347115.0,0,Married,Car Ownership,2 Children
30.0,Company Invited,2,840.0,Small Business,female,3.0,5.0,deluxe,3.0,2.0,0,2,manager,384360.0,0,Unmarried,Car Ownership,2 Children
30.0,Self Enquiry,3,480.0,Small Business,male,2.0,5.0,deluxe,3.0,3.0,0,1,manager,328995.0,0,Divorced,Car Ownership,1 Children
39.0,Self Enquiry,2,960.0,Salaried,female,2.0,5.0,deluxe,3.0,3.0,0,1,manager,306330.0,0,Divorced,No Car Ownership,1 Children
20.0,Company Invited,2,540.0,Salaried,male,3.0,4.0,standard,4.0,2.0,0,3,senior manager,463665.0,0,Unmarried,Car Ownership,2 Children
33.0,Company Invited,2,900.0,Salaried,male,3.0,4.0,deluxe,3.0,3.0,0,3,manager,389550.0,0,Married,Car Ownership,2 Children
33.0,Self Enquiry,2,1020.0,Salaried,female,3.0,4.0,deluxe,3.0,5.0,0,3,manager,300000.0,0,Divorced,Car Ownership,2 Children
42.0,Self Enquiry,2,1980.0,Salaried,male,3.0,4.0,deluxe,3.0,3.0,0,4,manager,314820.0,0,Married,Car Ownership,2 Children
30.0,Self Enquiry,2,360.0,Salaried,female,3.0,4.0,standard,4.0,2.0,0,4,senior manager,267615.0,0,Unmarried,Car Ownership,2 Children
50.0,Self Enquiry,2,540.0,Large Business,male,3.0,4.0,deluxe,4.0,7.0,1,3,manager,400000.0,0,Married,Car Ownership,2 Children
52.0,Self Enquiry,2,780.0,Small Business,male,3.0,4.0,king,4.0,5.0,1,3,avp,554670.0,1,Married,Car Ownership,2 Children
34.0,Self Enquiry,2,960.0,Salaried,female,3.0,4.0,deluxe,3.0,2.0,1,4,manager,343980.0,0,Divorced,Car Ownership,2 Children
70.0,Self Enquiry,2,540.0,Salaried,female,3.0,4.0,standard,3.0,5.0,1,3,senior manager,498630.0,0,Unmarried,Car Ownership,2 Children
42.0,Self Enquiry,2,480.0,Salaried,male,3.0,5.0,basic,3.0,7.0,0,2,executive,300000.0,0,Divorced,Car Ownership,2 Children
22.0,Self Enquiry,2,960.0,Small Business,male,2.0,5.0,deluxe,3.0,3.0,0,1,manager,353910.0,0,Married,No Car Ownership,1 Children
53.0,Company Invited,2,1380.0,Salaried,male,2.0,3.0,super deluxe,3.0,3.0,0,1,manager,400000.0,0,Married,Car Ownership,1 Children
31.0,Self Enquiry,2,1080.0,Small Business,male,2.0,3.0,deluxe,3.0,3.0,0,1,manager,424530.0,0,Married,Car Ownership,1 Children
50.0,Self Enquiry,1,540.0,Small Business,male,3.0,5.0,basic,3.0,3.0,0,1,executive,332325.0,0,Single,No Car Ownership,2 Children
22.0,Company Invited,1,540.0,Salaried,male,3.0,5.0,basic,3.0,3.0,0,1,executive,300000.0,1,Divorced,Car Ownership,2 Children
20.0,Self Enquiry,1,540.0,Small Business,male,3.0,5.0,basic,3.0,3.0,0,1,executive,325785.0,1,Single,Car Ownership,2 Children
50.0,Self Enquiry,1,600.0,Small Business,male,2.0,5.0,basic,3.0,3.0,0,2,executive,315465.0,0,Single,Car Ownership,1 Children
51.0,Self Enquiry,2,420.0,Small Business,male,3.0,5.0,deluxe,3.0,1.0,0,5,manager,329055.0,0,Married,Car Ownership,2 Children
32.0,Self Enquiry,2,420.0,Small Business,male,3.0,5.0,deluxe,3.0,7.0,0,3,manager,443280.0,0,Married,Car Ownership,2 Children
31.0,Company Invited,2,1020.0,Small Business,male,2.0,3.0,basic,3.0,3.0,1,2,executive,266145.0,1,Single,Car Ownership,1 Children
20.0,Company Invited,2,1740.0,Salaried,male,2.0,3.0,deluxe,3.0,3.0,1,2,manager,300000.0,0,Married,Car Ownership,1 Children
50.0,Company Invited,2,540.0,Salaried,male,3.0,5.0,deluxe,3.0,3.0,0,4,manager,326910.0,0,Unmarried,Car Ownership,2 Children
35.0,Self Enquiry,2,540.0,Large Business,male,3.0,5.0,deluxe,3.0,5.0,1,3,manager,400000.0,0,Unmarried,No Car Ownership,2 Children
39.0,Company Invited,1,840.0,Small Business,male,3.0,4.0,basic,3.0,2.0,0,3,executive,263820.0,0,Divorced,Car Ownership,2 Children
30.0,Company Invited,1,1740.0,Small Business,female,3.0,4.0,basic,4.0,3.0,0,3,executive,300000.0,0,Unmarried,Car Ownership,2 Children
28.0,Self Enquiry,1,540.0,Small Business,male,3.0,4.0,basic,3.0,3.0,0,3,executive,317565.0,1,Single,Car Ownership,2 Children
21.0,Self Enquiry,1,720.0,Large Business,female,3.0,4.0,standard,4.0,1.0,0,5,senior manager,336450.0,0,Married,Car Ownership,2 Children
34.0,Company Invited,1,780.0,Small Business,male,3.0,4.0,king,4.0,3.0,0,3,vp,326430.0,0,Married,Car Ownership,2 Children
25.0,Company Invited,1,900.0,Small Business,female,3.0,4.0,basic,3.0,3.0,0,3,executive,310000.0,0,Single,Car Ownership,2 Children
35.0,Self Enquiry,1,480.0,Large Business,female,3.0,4.0,basic,3.0,3.0,0,3,executive,323775.0,0,Divorced,Car Ownership,2 Children
40.0,Company Invited,1,900.0,Small Business,female,3.0,4.0,basic,3.0,3.0,0,4,executive,300000.0,0,Single,Car Ownership,2 Children
110.0,Company Invited,1,840.0,Small Business,female,3.0,4.0,basic,4.0,3.0,0,3,executive,326085.0,0,Single,Car Ownership,2 Children
55.0,Self Enquiry,1,660.0,Salaried,male,3.0,4.0,standard,3.0,4.0,0,4,senior manager,453840.0,0,Married,Car Ownership,2 Children
34.0,Self Enquiry,1,540.0,Salaried,male,3.0,4.0,basic,3.0,2.0,0,4,executive,306885.0,0,Married,No Car Ownership,2 Children
34.0,Self Enquiry,1,1500.0,Salaried,male,3.0,4.0,basic,3.0,7.0,0,3,executive,263670.0,0,Married,Car Ownership,2 Children
40.0,Company Invited,1,420.0,Small Business,female,2.0,3.0,deluxe,3.0,2.0,0,2,manager,269565.0,0,Single,Car Ownership,1 Children
28.0,Self Enquiry,1,960.0,Salaried,male,2.0,5.0,deluxe,3.0,3.0,1,2,manager,350000.0,1,Married,Car Ownership,1 Children
49.0,Self Enquiry,1,960.0,Salaried,male,3.0,5.0,basic,3.0,3.0,1,2,executive,405435.0,1,Married,Car Ownership,2 Children
40.0,Self Enquiry,1,600.0,Small Business,female,3.0,5.0,basic,3.0,1.0,0,4,executive,353565.0,0,Married,Car Ownership,2 Children
26.0,Company Invited,3,780.0,Salaried,male,2.0,6.0,basic,3.0,3.0,0,2,executive,346875.0,1,Divorced,Car Ownership,1 Children
31.0,Company Invited,1,780.0,Salaried,male,3.0,5.0,basic,3.0,2.0,0,3,executive,429960.0,1,Unmarried,Car Ownership,2 Children
29.0,Self Enquiry,2,780.0,Small Business,male,3.0,500.0,standard,3.0,7.0,0,4,senior manager,396150.0,0,Married,Car Ownership,2 Children
21.0,Self Enquiry,2,1380.0,Small Business,female,2.0,5.0,standard,3.0,3.0,0,2,senior manager,383895.0,0,Married,Car Ownership,1 Children
24.0,Self Enquiry,2,480.0,Small Business,female,3.0,5.0,basic,3.0,2.0,0,1,executive,300000.0,0,Divorced,Car Ownership,2 Children
20.0,Company Invited,2,660.0,Salaried,male,3.0,5.0,basic,3.0,2.0,0,3,executive,272955.0,1,Single,Car Ownership,2 Children
47.0,Self Enquiry,3,1560.0,Salaried,female,3.0,5.0,basic,3.0,3.0,0,4,executive,325710.0,0,Married,Car Ownership,2 Children
59.0,Self Enquiry,2,840.0,Salaried,female,2.0,5.0,super deluxe,3.0,5.0,0,2,avp,427815.0,0,Married,Car Ownership,1 Children
52.0,Self Enquiry,2,960.0,Salaried,male,3.0,5.0,standard,4.0,5.0,0,1,senior manager,458085.0,0,Married,Car Ownership,2 Children
48.0,Self Enquiry,3,840.0,Small Business,female,3.0,5.0,standard,3.0,2.0,0,2,senior manager,377595.0,0,Single,Car Ownership,2 Children
38.0,Self Enquiry,2,1380.0,Salaried,male,2.0,5.0,deluxe,3.0,3.0,0,2,manager,329100.0,0,Divorced,Car Ownership,1 Children
35.0,Company Invited,3,600.0,Salaried,male,2.0,5.0,deluxe,3.0,7.0,0,2,manager,368145.0,0,Married,Car Ownership,1 Children
31.0,Company Invited,2,840.0,Salaried,male,2.0,5.0,deluxe,4.0,3.0,0,2,manager,350000.0,0,Unmarried,No Car Ownership,1 Children
34.0,Self Enquiry,2,660.0,Salaried,female,2.0,5.0,standard,3.0,5.0,0,1,senior manager,404370.0,0,Unmarried,No Car Ownership,1 Children
33.0,Self Enquiry,3,1500.0,Large Business,male,3.0,5.0,basic,3.0,2.0,0,1,executive,350000.0,0,Married,Car Ownership,2 Children
50.0,Self Enquiry,2,1980.0,Small Business,female,3.0,5.0,super deluxe,3.0,2.0,0,2,avp,450000.0,0,Single,Car Ownership,2 Children
35.0,Company Invited,3,1020.0,Salaried,male,3.0,5.0,super deluxe,3.0,,0,2,avp,522855.0,1,Single,Car Ownership,2 Children
31.0,Self Enquiry,2,900.0,Small Business,male,3.0,5.0,basic,4.0,2.0,0,2,executive,317655.0,1,Single,Car Ownership,2 Children
36.0,Company Invited,2,900.0,Small Business,female,2.0,5.0,deluxe,3.0,3.0,0,2,manager,334575.0,0,Married,Car Ownership,1 Children
44.0,Self Enquiry,2,480.0,Small Business,male,2.0,5.0,deluxe,3.0,7.0,0,2,manager,321600.0,0,Unmarried,Car Ownership,1 Children
55.0,Company Invited,3,960.0,Salaried,female,3.0,5.0,standard,3.0,2.0,0,2,senior manager,372930.0,0,Single,Car Ownership,2 Children
32.0,Company Invited,2,540.0,Salaried,male,3.0,5.0,basic,3.0,5.0,0,1,executive,270810.0,1,Single,Car Ownership,2 Children
20.0,Company Invited,2,1200.0,Small Business,male,3.0,5.0,basic,3.0,2.0,0,1,executive,316335.0,0,Divorced,Car Ownership,2 Children
33.0,Self Enquiry,2,600.0,Salaried,male,3.0,5.0,standard,3.0,2.0,0,2,senior manager,335415.0,0,Married,Car Ownership,2 Children
24.0,Self Enquiry,2,600.0,Salaried,male,2.0,5.0,deluxe,3.0,3.0,0,2,manager,339165.0,0,Married,Car Ownership,1 Children
28.0,Company Invited,2,600.0,Salaried,male,3.0,5.0,deluxe,3.0,3.0,1,4,manager,366765.0,0,Unmarried,No Car Ownership,2 Children
46.0,Company Invited,1,1980.0,Salaried,female,3.0,5.0,super deluxe,3.0,4.0,0,2,avp,361455.0,0,Married,Car Ownership,2 Children
36.0,Self Enquiry,1,1680.0,Small Business,female,2.0,5.0,deluxe,3.0,3.0,0,2,manager,300000.0,0,Married,No Car Ownership,1 Children
50.0,Self Enquiry,1,1860.0,Small Business,female,2.0,5.0,basic,3.0,7.0,0,2,executive,270975.0,0,Married,Car Ownership,1 Children
32.0,Self Enquiry,1,660.0,Small Business,female,3.0,5.0,basic,3.0,3.0,0,2,executive,310000.0,0,Divorced,Car Ownership,2 Children
45.0,Company Invited,1,720.0,Small Business,male,2.0,5.0,deluxe,3.0,3.0,0,1,manager,360000.0,0,Unmarried,Car Ownership,1 Children
90.0,Self Enquiry,1,900.0,Salaried,male,2.0,5.0,basic,3.0,2.0,0,2,executive,314520.0,0,Married,Car Ownership,1 Children
37.0,Company Invited,1,900.0,Small Business,female,2.0,5.0,super deluxe,3.0,1.0,0,2,senior manager,375840.0,0,Single,Car Ownership,1 Children
50.0,Company Invited,1,1020.0,Small Business,female,2.0,5.0,basic,4.0,1.0,0,2,avp,375375.0,0,Divorced,Car Ownership,1 Children
41.0,Company Invited,1,1380.0,Salaried,female,2.0,5.0,standard,3.0,3.0,0,1,senior manager,364455.0,0,Married,Car Ownership,1 Children
42.0,Self Enquiry,1,420.0,Salaried,male,2.0,5.0,basic,3.0,1.0,0,1,executive,320000.0,0,Married,Car Ownership,1 Children
43.0,Self Enquiry,1,1680.0,Small Business,female,2.0,5.0,deluxe,3.0,5.0,0,1,manager,300000.0,0,Divorced,Car Ownership,1 Children
35.0,Self Enquiry,1,420.0,Salaried,male,2.0,5.0,basic,3.0,3.0,0,2,executive,306825.0,1,Married,Car Ownership,1 Children
38.0,Self Enquiry,1,600.0,Salaried,male,3.0,5.0,king,4.0,5.0,0,2,vp,459765.0,0,Single,Car Ownership,2 Children
43.0,Company Invited,1,420.0,Salaried,female,3.0,5.0,super deluxe,3.0,4.0,0,1,avp,576810.0,0,Divorced,Car Ownership,2 Children
52.0,Self Enquiry,1,900.0,Salaried,male,2.0,5.0,super deluxe,3.0,5.0,1,2,avp,499260.0,0,Divorced,Car Ownership,1 Children
40.0,Company Invited,1,720.0,Small Business,male,2.0,4.0,basic,3.0,3.0,0,2,executive,268770.0,0,Married,No Car Ownership,1 Children
41.0,Self Enquiry,1,900.0,Large Business,male,3.0,5.0,standard,3.0,2.0,1,2,senior manager,404820.0,0,Unmarried,Car Ownership,2 Children
40.0,Self Enquiry,2,600.0,Large Business,female,3.0,6.0,basic,3.0,7.0,0,4,executive,314790.0,0,Single,Car Ownership,2 Children
40.0,Company Invited,2,660.0,Small Business,female,2.0,4.0,basic,4.0,6.0,0,2,executive,271665.0,0,Married,Car Ownership,1 Children
41.0,Self Enquiry,2,360.0,Salaried,male,3.0,6.0,deluxe,3.0,4.0,0,2,manager,420870.0,0,Married,Car Ownership,2 Children
40.0,Self Enquiry,2,780.0,Small Business,male,3.0,5.0,deluxe,3.0,7.0,0,3,manager,319365.0,0,Married,Car Ownership,2 Children
37.0,Self Enquiry,2,480.0,Small Business,male,3.0,5.0,basic,3.0,2.0,0,3,executive,308955.0,0,Married,Car Ownership,2 Children
34.0,Self Enquiry,2,,Salaried,male,3.0,5.0,deluxe,3.0,3.0,0,4,manager,319215.0,0,Married,Car Ownership,2 Children
25.0,Self Enquiry,2,840.0,Salaried,female,3.0,5.0,deluxe,3.0,5.0,0,3,manager,297630.0,0,Married,Car Ownership,2 Children
33.0,Company Invited,2,1020.0,Salaried,female,3.0,5.0,deluxe,3.0,3.0,0,3,manager,325095.0,0,Married,Car Ownership,2 Children
39.0,Company Invited,1,1860.0,Salaried,male,2.0,6.0,deluxe,3.0,4.0,0,2,manager,327315.0,0,Unmarried,Car Ownership,1 Children
50.0,Company Invited,2,1080.0,Salaried,male,2.0,3.0,super deluxe,3.0,6.0,0,1,avp,540540.0,0,Married,Car Ownership,No Children
51.0,Self Enquiry,2,1020.0,Salaried,male,2.0,3.0,super deluxe,3.0,5.0,0,2,avp,556275.0,0,Divorced,Car Ownership,No Children
33.0,Company Invited,2,840.0,Salaried,male,2.0,3.0,basic,3.0,1.0,0,2,executive,264105.0,0,Single,No Car Ownership,No Children
32.0,Company Invited,1,660.0,Small Business,male,3.0,5.0,basic,4.0,7.0,0,5,executive,314265.0,1,Unmarried,Car Ownership,2 Children
38.0,Self Enquiry,1,600.0,Large Business,female,3.0,5.0,deluxe,4.0,2.0,0,4,manager,327240.0,0,Single,Car Ownership,2 Children
30.0,Self Enquiry,1,1020.0,Small Business,female,3.0,5.0,deluxe,4.0,2.0,0,4,manager,383025.0,0,Unmarried,Car Ownership,2 Children
39.0,Self Enquiry,1,480.0,Salaried,male,3.0,5.0,basic,3.0,7.0,0,3,executive,312390.0,1,Unmarried,No Car Ownership,2 Children
,Self Enquiry,1,1800.0,Salaried,male,3.0,5.0,deluxe,3.0,3.0,0,3,manager,366405.0,0,Married,Car Ownership,2 Children
42.0,Company Invited,2,840.0,Salaried,male,2.0,3.0,deluxe,3.0,2.0,1,2,manager,363000.0,1,Married,No Car Ownership,No Children
54.0,Company Invited,1,960.0,Small Business,male,1.0,1.0,super deluxe,3.0,5.0,0,2,avp,520000.0,0,Single,Car Ownership,No Children
46.0,Self Enquiry,1,1860.0,Large Business,male,1.0,3.0,super deluxe,3.0,2.0,0,5,avp,454695.0,0,Divorced,Car Ownership,No Children
42.0,Self Enquiry,2,1920.0,Salaried,male,3.0,4.0,super deluxe,3.0,5.0,0,2,avp,547560.0,0,Divorced,Car Ownership,No Children
60.0,Company Invited,1,840.0,Salaried,male,2.0,3.0,king,3.0,6.0,0,1,vp,498345.0,0,Married,Car Ownership,No Children
35.0,Self Enquiry,2,600.0,Small Business,female,2.0,4.0,deluxe,3.0,2.0,0,4,manager,352845.0,0,Unmarried,Car Ownership,1 Children
28.0,Self Enquiry,3,600.0,Small Business,female,3.0,4.0,basic,3.0,3.0,0,4,executive,304785.0,0,Single,Car Ownership,2 Children
